Prefix,Department ID,Department,Description of Asset,Asset Number,SAP No.,Type,Manufacturer/Supplier,Model,Mfg SN,Mfg Year,Est Value,Maintenance Frequency,Require Calibration,Functional Location,Functional Loc. Description,Assign Project,Floor,Prod. Line,Start Date,Due Date,Day Left,Status,Remark,Index
AIPJ001,88-15ME-AIPJ001-001,15ME,E1-G CHARGING COVER SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-03,2026-06-01,63,Good,,
AIPJ002,88-15ME-AIPJ002-001,15ME,E1-G DECORATIVE TOP COVER JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 TC,2026-03-03,2026-06-01,63,Good,,
AIPJ003,88-15ME-AIPJ003-001,15ME,E1-G HANDLE SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 TC,2026-03-03,2026-06-01,63,Good,,
AIPJ004,88-15ME-AIPJ004-001,15ME,E1-G LIGHT BOARD SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MCTC,2026-03-03,2026-06-01,63,Good,,
,,15ME,E1-G SEMI FINISHED JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-03,2026-06-01,63,Good,,
AIPJ008,88-15ME-AIPJ008-001,15ME,E1-G TOP COVER BUOYANCY SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 WB,2026-03-03,2026-06-01,63,Good,,
AIPJ007,88-15ME-AIPJ007-001,15ME,E1-G SEMI FINISHED JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-03,2026-06-01,63,Good,,
AIPJ009,88-15ME-AIPJ009-001,15ME,E1-G TOP COVER SCREW HANDLE JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 TC,2026-03-03,2026-06-01,63,Good,,
AIPJ010,88-15ME-AIPJ010-001,15ME,E1-G TRAVEL MOTOR BRACKET SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MCBC,2026-03-03,2026-06-01,63,Good,,
AIPJ010,88-15ME-AIPJ010-002,15ME,E1-G TRAVEL MOTOR BRACKET SCREW JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MCBC,2026-03-03,2026-06-01,63,Good,,
AIPJ007,88-15ME-AIPJ007-002,15ME,E1-G SEMI FINISHED JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-03,2026-06-01,63,Good,,
AIPJ007,88-15ME-AIPJ007-003,15ME,E1-G SEMI FINISHED JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-03,2026-06-01,63,Good,,
AIPJ007,88-15ME-AIPJ007-004,15ME,E1-G SEMI FINISHED JIG,NA,NA,JIG,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-03,2026-06-01,63,Good,,
ES,88-15ME-ES-001,15ME,E1-G SLAVEBOARD,NA,NA,JIG,WANDEL,E1-G,VO1-10603-R144-001-A,2026,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-04,2026-06-02,64,Good,,
ES,88-15ME-ES-002,15ME,E1-G SLAVEBOARD,NA,NA,JIG,WANDEL,VO1-10603-R144-001-A,002,2026,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-04,2026-06-02,64,Good,,
AIPT,88-15ME-AIPT-011,15ME,E1-G DRAIN MOTOR TESTER,NA,NA,TESTER,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,,SUBLINE 2 MCTC,2026-03-09,2026-06-07,69,Good,,
AIPT,88-15ME-AIPT-012,15ME,E1-G TRAVEL MOTOR TESTER,NA,NA,TESTER,AIPER,E1-G,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MCBC,2026-03-09,2026-06-07,69,Good,,
AIPT,88-15ME-AIPT-013,15ME,N SERIES MOTOR COMPARTMENT TESTER - ATE,14501367,NA,TESTER,NA,NA,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 1 MC,2026-03-09,2026-06-07,69,Good,,
AIPT,88-15ME-AIPT-014,15ME,E1-G MOTOR COMPARTMENT TEST - ATE,NA,NA,TESTER,NA,NA,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MC,2026-03-09,2026-06-07,69,Good,,
AIPT,88-15ME-AIPT-015,15ME,E1-G MOTOR COMPARTMENT TEST - ATE,NA,NA,TESTER,NA,NA,2026-03,2024,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MC,2026-03-09,2026-06-07,69,Good,,
AIPT,88-15ME-AIPT-016,15ME,E1-G FUNCTIONAL TESTER,NA,NA,TESTER,NA,NA,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-09,2026-06-07,69,Good,,
AIPT,88-15ME-AIPT-017,15ME,N SERIES FLOW DETECTION TESTER,NA,NA,TESTER,NA,N SERIES,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 1 MC,2026-03-09,2026-06-07,69,Good,,
DSDJA,88-15ME-DSDJA-016,15ME,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,NA,NA,MACHINE,NA,NA,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 1 MC,2026-03-09,2026-06-07,69,Good,,
DSDJA,88-15ME-DSDJA-017,15ME,DOUBLE SCREW DOUBLE JIG AUTOMATIC SCREW MACHINE,NA,NA,MACHINE,NA,NA,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,SUBLINE 2 MC,2026-03-09,2026-06-07,69,Good,,
AIPT,88-15ME-AIPT-018,15ME,E1-G BATTERY LEVEL TESTER,NA,NA,TESTER,NA,NA,NA,NA,NA,QUARTERLY,NO,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,MAINLINE 2,2026-03-09,2026-06-07,69,Good,,
TORMET,88-15ME-TORMET-001,15ME,DIGITAL TORQUE METER,NA,NA,EQUIPMENT,HIOS,HP-10,522722,2022,NA,YEARLY,YES,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,ALL,2025-09-03,2026-09-03,157,Good,CALIBRATED BY METCAL TECHNOLOGIES,
TORMET,88-15ME-TORMET-002,15ME,DIGITAL TORQUE METER,NA,NA,EQUIPMENT,HIOS,HP-100,522736,2021,NA,YEARLY,YES,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,ALL,2025-09-03,2026-09-03,157,Good,CALIBRATED BY METCAL TECHNOLOGIES,
OM,88-15ME-OM-001,15ME,MEGAOHM METER,NA,NA,EQUIPMENT,ACL STATICIDE,ACL800C,R006219,2021,NA,YEARLY,YES,1006-10PE,ASSEMBLY (PRODUCTION),AIPER,2,ALL,2025-09-03,2026-09-03,157,Good,CALIBRATED BY METCAL TECHNOLOGIES,
ST,88-15ME-ST-001,15ME,SOLDERING TESTER,NA,NA,EQUIPMENT,QUICK,192,N20210512571,2021,NA,YEARLY,YES,1006-10PE,ASSEMBLY (PRODUCTION),,2,,2025-09-03,2026-09-03,157,Good,CALIBRATED BY METCAL TECHNOLOGIES,
DM,88-15ME-DM-001,15ME,DIGITAL MULTIMETER,NA,NA,EQUIPMENT,SANWA,CD800A,20025007683,2024,NA,YEARLY,YES,1006-10PE,ASSEMBLY (PRODUCTION),,2,,2025-09-03,2026-09-03,157,Good,CALIBRATED BY METCAL TECHNOLOGIES,
